Designator,Mid X,Mid Y,Rotation,Layer
C1,151.4584,-64.1537,0.0,top
C10,188.225,-88.5,0.0,top
C11,168.325,-100.5,0.0,top
C12,148.05,-95.5,0.0,top
C13,170.1375,-90.5,0.0,top
C14,170.1375,-88.5,0.0,top
C2,151.4584,-67.2249,0.0,top
C3,151.4584,-70.2962,0.0,top
C4,147.95,-90.0,0.0,top
C5,173.5,-93.45,90.0,top
C6,193.5,-81.775,90.0,top
C7,151.5,-61.5,0.0,top
C8,181.325,-95.0,0.0,top
C9,181.5,-97.5,0.0,top
D1,163.5,-96.5,180.0,top
D10,141.0,-89.0,0.0,top
D11,147.15,-82.5,0.0,top
D2,181.5,-88.0,0.0,top
D3,178.7304,-81.2972,90.0,top
D4,176.5,-81.3,90.0,top
D5,174.5,-100.0,0.0,top
D6,181.455,-90.25,180.0,top
D7,168.095,-102.5,180.0,top
D8,168.14,-96.5,0.0,top
D9,174.5,-97.0,0.0,top
IC1,164.755,-70.29,0.0,top
IC2,177.675,-69.0,0.0,top
J1,158.11,-108.605,0.0,top
J2,171.47,-108.605,0.0,top
R1,151.4584,-73.3674,0.0,top
R10,188.225,-94.5,0.0,top
R11,168.325,-98.5,0.0,top
R12,177.675,-66.0,0.0,top
R13,177.675,-64.0,0.0,top
R14,148.0,-86.5,0.0,top
R15,151.4584,-79.4387,0.0,top
R16,148.0,-93.0,0.0,top
R17,170.1375,-86.5,0.0,top
R2,151.4584,-76.4387,0.0,top
R3,163.5,-93.5,0.0,top
R4,139.15,-94.5,0.0,top
R5,142.825,-94.5,0.0,top
R6,173.5,-102.5,0.0,top
R7,181.325,-92.5,0.0,top
R8,188.225,-90.5,0.0,top
R9,188.225,-92.5,0.0,top
SW1,144.8,-75.45,270.0,top
SW2,184.2,-81.85,90.0,top
U1,180.55,-74.5,90.0,top
U2,156.0,-92.0,180.0,top
U3,165.05,-88.25,0.0,top
